;;;;;Journal de travail;;;;;;;;;
;Auteur:;Toledo Adrian;;;Projet:;P_App - 335 - Passion Lecture;;;;;;;;
;Temps total:;0 jours 12 heurs 0 minutes;;;Date:;18.03.2024  au 27.05.2024;;;;;;;;
;;0,00;720,00;720,00;;;;;;;;;;
;;Temps;;;;;;;;;;;;
Semaine;Jour;heure;min.;Activité;Description;Remarque / problème;;;;;;;;
13;25 mars;;15 min;Documentation;Lire le cahiers de charges et télécharger les documents du projet;;;;;;;;;
13;25 mars;;15 min;Documentation;Création du répertoire pour le projet et remplissage du journal de travail.;;;;;;;Analyse;1;0
13;25 mars;;15 min;Design;Conception de maquettes papier : écran d'accueil, menu bibliothèque, lecture de livre et ajout de livre;;;;;;;Développement;2;5
13;25 mars;;15 min;Design;Maquettes digitales : projet commencé mais non terminé dans figma en raison de problèmes techniques.;;;;;;;Test;3;10
13;25 mars;;15 min;Développement;Récupération de l'ancien projet REST API;;;;;;;Documentation;4;15
13;25 mars;;15 min;Développement;Création du projet avec Maui;;;;;;;Meeting;5;20
13;25 mars;;15 min;Développement;Création de la page d'accueil : logo, nom de l'app et nom de l'entreprise;;;;;;;Présentation;6;25
13;25 mars;;15 min;Analyse;Recherche d'informations sur la documentation de  Maui;;;;;;;Design;7;30
13;25 mars;;15 min;Développement;Développement d'un site web pour une bibliothèque de livres : Titre: Library, Book: Sherlock Holmes;;;;;;;Autre;8;35
13;25 mars;;15 min;Développement;Insertion des images sur xml pour les livres;;;;;;;;;40
13;25 mars;;15 min;Développement;Créer des fonctions dans les boutons pour changer de page.;;;;;;;;;45
13;25 mars;;15 min;Développement;Création de GitHub et enregistrement des fichiers;;;;;;;;;50
16;15 avr;;15 min;Autre;De retour de vacances : lire ma journée de travail, télécharger des documents depuis onedrive;;;;;;;;;55
16;15 avr;;15 min;Autre;Problème technique : l’application d’émulation ne fonctionne pas et je dois la télécharger à nouveau (4,2 Go);;;;;;;;;
16;15 avr;;15 min;Autre;Télécharger le Github Desktop et récupérer le projet précédent.;;;;;;;;;
16;15 avr;;15 min;Développement;Activation du mode débogage via le port USB de mon appareil mobile. ;;;;;;;;;
16;15 avr;;15 min;Design;Problème Figma dans le navigateur. Solution : téléchargez Figma desktop et travaillez sur les maquettes ;;;;;;;;;
16;15 avr;;15 min;Design;Maquettes de la page d'accueil et de la bibliothèque;;;;;;;;;
16;15 avr;;15 min;Design;Maquette de la visualisation d'une livre;;;;;;;;;
16;15 avr;;15 min;Design;Sur le maquette : ajouter la recherche par tags et le tri par date ou par nom alphabétique. ;;;;;;;;;
16;15 avr;;30 min;Développement;Résoudre les problèmes de démarrage de mon programme ;;;;;;;;;
16;15 avr;;15 min;Développement;Problème résolu : je peux maintenant utiliser mon émulateur android;;;;;;;;;
16;15 avr;;15 min;Documentation;Sauvegarde de documents et JNTRVL;;;;;;;;;
17;22 avr;;15 min;Documentation;Lire le JNTRVL et faire une liste d’activités pour aujourd’hui;;;;;;;;;
17;22 avr;;15 min;Développement;Essai de récupération du code endommagé;;;;;;;;;
17;22 avr;;15 min;Analyse;Recherche d'informations sur la manière de résoudre le problème;;;;;;;;;
17;22 avr;;15 min;Développement;Création d'un nouveau projet à partir de 0;;;;;;;;;
17;22 avr;;15 min;Développement;Création de chaque page : Home Library et Setting;;;;;;;;;
17;22 avr;;15 min;Développement;Création d'une barre tabbar pour les 3 pages;;;;;;;;;
17;22 avr;;15 min;Analyse;Recherchez des images de chaque livre et icons;;;;;;;;;
17;22 avr;;15 min;Développement;Problème : le projet a cessé de fonctionner. En raison d'une mauvaise façon de nommer les fichiers.;;;;;;;;;
17;22 avr;;15 min;Développement;Changement des couleurs de fond et création d'un logo pour l'application.;;;;;;;;;
17;22 avr;;15 min;Développement;Page d'accueil finie avec tous les éléments;;;;;;;;;
17;22 avr;;15 min;Développement;Ajustement des couleurs et du style des boutons, des textes et des positions.;;;;;;;;;
17;22 avr;;15 min;Documentation;Sauvegarder le projet, github et remplir le JNTRVL;;;;;;;;;
18;29 avr;;15 min;Autre;Preparation de l'ordinateur avec le projet, l'émulateur, JNTRVL, Git et OneDrive;;;;;;;;;
18;29 avr;;15 min;Design;Modifications sur la page d'accueil;;;;;;;;;
18;29 avr;;15 min;Développement;Changement de couleurs de l'arrière-plan et des boutons;;;;;;;;;
18;29 avr;;30 min;Développement;Création de grille pour réaliser une page de bibliothèque de deux livres par ligne;;;;;;;;;
18;29 avr;;45 min;Développement;Affichage d'un livre avec des informations locales comme exemple;;;;;;;;;
18;29 avr;;15 min;Test;Test de l'app et l'affichage d'elements sur l'emulateur et le smartphone;;;;;;;;;
18;29 avr;;15 min;Analyse; Apprendre a utiliser BLOB;;;;;;;;;
18;29 avr;;15 min;Développement;Création de bases de données et de tables : t_book ;;;;;;;;;
18;29 avr;;15 min;Documentation;Sauvegarder le projet, github et remplir le JNTRVL;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
